algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,077000,9626,8
QuickSort,random,1000,0,058500,17382,7
QuickSelect,random,1000,0,009500,3998,12
MergeSort,sorted,1000,0,008100,999,8
QuickSort,sorted,1000,0,050200,17385,7
QuickSelect,sorted,1000,0,004400,4852,13
MergeSort,duplicates,1000,0,058100,9223,8
QuickSort,duplicates,1000,0,013800,5683,3
QuickSelect,duplicates,1000,0,009300,4548,4
MergeSort,random,10000,1,919800,128280,11
QuickSort,random,10000,0,755600,245785,10
QuickSelect,random,10000,0,105300,54492,16
MergeSort,sorted,10000,0,066100,9999,11
QuickSort,sorted,10000,0,668400,246524,9
QuickSelect,sorted,10000,0,059900,49772,17
MergeSort,duplicates,10000,0,566900,122481,11
QuickSort,duplicates,10000,0,134400,59017,3
QuickSelect,duplicates,10000,0,075800,31916,3
MergeSort,random,100000,7,889900,1647282,14
QuickSort,random,100000,8,537500,3079399,12
QuickSelect,random,100000,1,098200,364126,21
MergeSort,sorted,100000,0,226200,99999,14
QuickSort,sorted,100000,4,775000,3253999,12
QuickSelect,sorted,100000,0,274300,520083,22
MergeSort,duplicates,100000,3,801500,1569788,14
QuickSort,duplicates,100000,1,212100,540741,3
QuickSelect,duplicates,100000,0,905600,410645,4
MergeSort,random,1000000,89,558500,19972420,18
QuickSort,random,1000000,93,026000,37732974,14
QuickSelect,random,1000000,9,680300,4552487,33
MergeSort,sorted,1000000,1,655100,999999,18
QuickSort,sorted,1000000,51,127400,38499823,14
QuickSelect,sorted,1000000,2,610300,4178421,29
MergeSort,duplicates,1000000,43,106000,19010026,18
QuickSort,duplicates,1000000,12,662700,5099051,3
QuickSelect,duplicates,1000000,8,225600,3399803,4
